Metro,Population,Transit,Walk,Bike,No Car,Index,Rank
"Blacksburg-Christiansburg-Radford, VA Metro Area",181863,2.9,4.1,0.9,2.1,0.733638743455497,69
"Fairbanks, AK Metro Area",100031,0.9,4.1,1,2.7,0.729712041884817,70
"Williamsport, PA Metro Area",115398,1.3,3.2,0.4,3.6,0.721858638743455,71
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1717708,1.6,3.4,0.5,2.8,0.721858638743455,71
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",6019790,3.7,1.7,0.6,3.5,0.716623036649215,73
"Lexington-Fayette, KY Metro Area",500689,1.4,3.2,0.5,3,0.716623036649215,73
"Rochester, MN Metro Area",214485,4.4,3.6,0.7,2.1,0.711387434554974,75
"Cleveland-Elyria, OH Metro Area",2062764,3.1,2.3,0.3,3.8,0.710732984293194,76
"College Station-Bryan, TX Metro Area",248554,2.2,2.4,1.6,2.4,0.709424083769634,77
"Walla Walla, WA Metro Area",63861,0.7,8.3,1.4,2.4,0.707460732984293,78
"Denver-Aurora-Lakewood, CO Metro Area",2798684,4.3,2.1,0.8,2.5,0.700261780104712,79
"Bridgeport-Stamford-Norwalk, CT Metro Area",947328,10.4,2.6,0.2,3.5,0.698952879581152,80
"Medford, OR Metro Area",212070,0.9,3.3,1.4,2.6,0.698298429319372,81
"Duluth, MN-WI Metro Area",279205,1.9,4.3,0.4,2.4,0.696989528795812,82
"Grand Forks, ND-MN Metro Area",101694,0.8,3.6,0.9,2.7,0.695680628272251,83
"Lincoln, NE Metro Area",323402,1.2,3,1.2,2.5,0.692408376963351,84
"San Diego-Carlsbad, CA Metro Area",3283665,3.1,2.9,0.7,2.2,0.68913612565445,85
"Sacramento--Roseville--Arden-Arcade, CA Metro Area",2268005,2.5,2,1.6,2.4,0.68520942408377,86
"Kahului-Wailuku-Lahaina, HI Metro Area",164180,2.7,2.5,0.8,2.3,0.68520942408377,86
"Las Vegas-Henderson-Paradise, NV Metro Area",2112436,3.7,1.6,0.4,3.9,0.68390052356021,88
"Glens Falls, NY Metro Area",126884,0.9,3.3,0.4,3.4,0.683246073298429,89
"Lebanon, PA Metro Area",137616,0.7,4.3,0.4,3.2,0.681937172774869,90
"Anchorage, AK Metro Area",399360,1.5,3.1,1,2.2,0.677356020942408,91
"Charleston, WV Metro Area",219964,1.8,3.1,0.2,3.8,0.676047120418848,92
"South Bend-Mishawaka, IN-MI Metro Area",320010,1.3,3.3,0.6,2.5,0.675392670157068,93
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1969897,4.3,2.1,1.8,2.1,0.673429319371728,94
"Portland-South Portland, ME Metro Area",525776,1.1,3.9,0.7,2.3,0.672774869109948,95
"Reading, PA Metro Area",415500,1.6,3.3,0.2,3.5,0.671465968586387,96
"Springfield, OH Metro Area",135520,0.9,2.8,0.5,3.3,0.670811518324607,97
"Great Falls, MT Metro Area",81816,0.7,3.8,0.4,3.1,0.667539267015707,98
"Utica-Rome, NY Metro Area",295267,1,3.9,0.2,4,0.664267015706806,99
"Tallahassee, FL Metro Area",377674,1.3,2.1,0.6,3,0.663612565445026,100
"Hartford-West Hartford-East Hartford, CT Metro Area",1213123,2.9,2.5,0.2,3.4,0.663612565445026,100
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",280119,1.4,3.9,2.4,1.7,0.662303664921466,102
"Spokane-Spokane Valley, WA Metro Area",547688,2.4,2.8,0.5,2.3,0.658376963350785,103
"Hanford-Corcoran, CA Metro Area",150183,0.9,2.2,0.7,3.1,0.656413612565445,104
"Bloomington, IL Metro Area",189407,1.5,3.8,0.4,2.3,0.655759162303665,105
"Provo-Orem, UT Metro Area",587190,1.9,4.1,1.1,1.5,0.654450261780105,106
"Vineland-Bridgeton, NJ Metro Area",154952,1.9,2.5,0.2,3.9,0.653795811518325,107
"Watertown-Fort Drum, NY Metro Area",116567,0.3,6.5,0.4,3.6,0.652486910994764,108
"La Crosse-Onalaska, WI-MN Metro Area",136291,0.9,4.7,1.5,2,0.652486910994764,108
"Logan, UT-ID Metro Area",133408,2,3.9,1.4,1.4,0.651178010471204,110
"St. Cloud, MN Metro Area",194660,1.3,4.1,0.6,2.1,0.646596858638744,111
"Phoenix-Mesa-Scottsdale, AZ Metro Area",4561038,2.1,1.5,0.8,2.8,0.640706806282722,112
"Carson City, NV Metro Area",54219,0.3,3,1,3.3,0.638089005235602,113
"Kalamazoo-Portage, MI Metro Area",335020,1.3,2.9,0.4,2.6,0.635471204188482,114
"Yuma, AZ Metro Area",204281,1.7,2.4,0.4,2.6,0.634162303664921,115
"Santa Rosa, CA Metro Area",500943,1.9,3.1,1,1.8,0.634162303664921,115
"Salt Lake City, UT Metro Area",1170057,3.7,2.2,0.8,2,0.631544502617801,117
"Napa, CA Metro Area",141005,1.4,3.9,0.8,1.8,0.630890052356021,118
"Carbondale-Marion, IL Metro Area",126592,0.8,3.7,0.5,2.5,0.630235602094241,119
"Manhattan, KS Metro Area",98884,0.3,7.4,1.5,2.3,0.628272251308901,120
"Toledo, OH Metro Area",605204,1.2,2.6,0.3,3,0.62630890052356,121
"Salinas, CA Metro Area",433168,1.7,3.1,0.7,2,0.625,122
"Fresno, CA Metro Area",971616,1.2,1.6,0.7,3.1,0.62369109947644,123
"Hinesville, GA Metro Area",79977,0.4,3.2,0.5,3.4,0.62303664921466,124
"Olympia-Tumwater, WA Metro Area",269885,1.8,2.2,1,2.1,0.621073298429319,125
"Jacksonville, NC Metro Area",192685,0.3,8,0.4,2.9,0.620418848167539,126
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832790,1.8,2.5,0.2,3.1,0.620418848167539,126
"Elkhart-Goshen, IN Metro Area",202924,0.4,1.7,1.4,5.3,0.618455497382199,128
"Richmond, VA Metro Area",1270158,1.5,1.9,0.4,2.9,0.617146596858639,129
"Battle Creek, MI Metro Area",134327,0.7,3.1,0.3,3.3,0.614528795811518,130
"Austin-Round Rock, TX Metro Area",2000590,2.3,1.7,0.8,2.3,0.614528795811518,130
"Mankato-North Mankato, MN Metro Area",99244,1.1,4,0.6,2,0.613219895287958,132
"Salem, OR Metro Area",410119,1.6,3.1,0.7,1.9,0.609947643979058,133
"Roanoke, VA Metro Area",313069,1.4,2.2,0.3,2.9,0.609947643979058,133
"Tampa-St. Petersburg-Clearwater, FL Metro Area",2978209,1.4,1.4,0.8,2.9,0.608638743455497,135
"Fargo, ND-MN Metro Area",232660,1,3,0.6,2.3,0.607329842931937,136
"Norwich-New London, CT Metro Area",270772,1.5,3.6,0.3,2.2,0.605366492146597,137
"Merced, CA Metro Area",267390,1.2,2.1,0.4,2.8,0.605366492146597,137
"Pueblo, CO Metro Area",163368,1.1,2.1,0.5,2.7,0.603403141361256,139
"Worcester, MA-CT Metro Area",934923,1.6,2.7,0.2,2.8,0.602094240837696,140
"Dubuque, IA Metro Area",96571,1.1,3.6,0.3,2.4,0.602094240837696,140
"Niles-Benton Harbor, MI Metro Area",154948,0.6,2.7,0.5,2.8,0.591623036649215,142
"Columbus, OH Metro Area",2023695,1.7,2.1,0.4,2.4,0.590968586387435,143
"Dayton, OH Metro Area",800893,1.7,2.6,0.2,2.7,0.587041884816754,144
"California-Lexington Park, MD Metro Area",110979,2.2,2.4,0.3,2.3,0.585732984293194,145
"Fort Collins, CO Metro Area",330976,1.3,2.5,3.7,1.6,0.584424083769633,146
"Kankakee, IL Metro Area",110801,1.6,2.6,0.2,2.7,0.583769633507853,147
"Springfield, IL Metro Area",210550,1.5,2,0.4,2.5,0.582460732984293,148
"Charleston-North Charleston, SC Metro Area",744195,1.1,2.5,0.8,2.1,0.581806282722513,149
"Grand Rapids-Wyoming, MI Metro Area",1039182,1.5,2.2,0.5,2.2,0.581151832460733,150
"Peoria, IL Metro Area",377258,1.4,2.1,0.3,2.7,0.578534031413613,151
"St. Louis, MO-IL Metro Area",2804998,2.6,1.7,0.2,3,0.576570680628272,152
"Waterloo-Cedar Falls, IA Metro Area",170055,0.5,4.5,0.5,2.2,0.570026178010471,153
"Alexandria, LA Metro Area",154385,1.6,1.7,0.2,3.5,0.569371727748691,154
"Altoona, PA Metro Area",124736,0.8,3.7,0.2,2.7,0.568062827225131,155
"Decatur, IL Metro Area",107587,1.5,1.8,0.2,3.3,0.56609947643979,156
"Cincinnati, OH-KY-IN Metro Area",2156723,2,2,0.2,2.8,0.56609947643979,156
"Jacksonville, FL Metro Area",1447884,1.3,1.5,0.5,2.8,0.56413612565445,158
"Albuquerque, NM Metro Area",905049,1.6,1.8,1,2,0.56413612565445,158
"Panama City, FL Metro Area",196135,1.1,1.3,0.6,2.9,0.55890052356021,160
