Metro,Population,Transit,Walk,Bike,No Car,Index,Rank
"Palm Bay-Melbourne-Titusville, FL Metro Area",568183,0.6,1.1,0.8,2.5,0.455497382198953,229
"Clarksville, TN-KY Metro Area",278844,0.8,3.4,0.1,2.2,0.454842931937173,230
"Oxnard-Thousand Oaks-Ventura, CA Metro Area",847834,1.3,1.8,0.6,1.4,0.454188481675393,231
"Jackson, MI Metro Area",158989,0.4,2.1,0.3,2.6,0.454188481675393,231
"El Paso, TX Metro Area",838527,1.5,2,0.2,2.1,0.452879581151833,233
"Odessa, TX Metro Area",155744,0.4,1.7,0.3,2.9,0.452225130890052,234
"El Centro, CA Metro Area",179957,0.8,1.9,0.4,2.1,0.450916230366492,235
"Davenport-Moline-Rock Island, IA-IL Metro Area",383141,1,2,0.3,2.1,0.450261780104712,236
"Bakersfield, CA Metro Area",878744,0.9,1.2,0.4,2.5,0.450261780104712,236
"Canton-Massillon, OH Metro Area",402098,1.2,1.6,0.2,2.5,0.448952879581152,238
"Hilton Head Island-Bluffton-Beaufort, SC Metro Area",206781,0.4,2.4,0.5,2.1,0.448298429319372,239
"Ogden-Clearfield, UT Metro Area",642274,2.1,1.4,0.4,1.8,0.446335078534031,240
"Indianapolis-Carmel-Anderson, IN Metro Area",1989032,1,1.5,0.3,2.4,0.444371727748691,241
"San Angelo, TX Metro Area",118498,0.2,4,0.2,2.4,0.443062827225131,242
"Cape Coral-Fort Myers, FL Metro Area",700165,0.8,1,0.6,2.4,0.442408376963351,243
"Brunswick, GA Metro Area",115939,0.5,1.5,0.2,3.6,0.43782722513089,244
"Lakeland-Winter Haven, FL Metro Area",652256,0.5,1.1,0.4,2.9,0.43651832460733,245
"Muskegon, MI Metro Area",172707,0.5,1,0.4,3,0.43520942408377,246
"Huntington-Ashland, WV-KY-OH Metro Area",360603,0.5,2.3,0.2,2.5,0.433900523560209,247
"Gulfport-Biloxi-Pascagoula, MS Metro Area",388082,0.6,2.7,0.2,2.2,0.432591623036649,248
"Flint, MI Metro Area",410881,1.2,1.3,0.1,3,0.431937172774869,249
"Modesto, CA Metro Area",535684,0.8,1.5,0.4,2.2,0.429973821989529,250
"Baton Rouge, LA Metro Area",828741,1,1.4,0.3,2.3,0.422120418848168,251
"Sioux City, IA-NE-SD Metro Area",168647,0.7,2.2,0.2,2.2,0.420811518324607,252
"Hagerstown-Martinsburg, MD-WV Metro Area",261156,1.2,1.6,0.1,2.6,0.420811518324607,252
"Lake Havasu City-Kingman, AZ Metro Area",204691,0.9,1.5,0.2,2.6,0.420157068062827,254
"Midland, MI Metro Area",83489,1,1.5,0.3,2.2,0.418193717277487,255
"Riverside-San Bernardino-Ontario, CA Metro Area",4476222,1.4,1.6,0.3,1.9,0.417539267015707,256
"Killeen-Temple, TX Metro Area",432797,0.4,3,0.3,2,0.416884816753927,257
"Grand Island, NE Metro Area",84596,0.7,1.9,0.6,1.6,0.416884816753927,257
"York-Hanover, PA Metro Area",442216,0.8,1.8,0.3,2.1,0.416230366492147,259
"East Stroudsburg, PA Metro Area",167306,4.1,2.1,0,1.9,0.416230366492147,259
"Hammond, LA Metro Area",128850,0.4,1.5,0.3,2.8,0.412958115183246,261
"Green Bay, WI Metro Area",315847,0.6,2.3,0.3,2,0.412303664921466,262
"Fond du Lac, WI Metro Area",102082,0.3,3.4,0.4,1.6,0.412303664921466,262
"Boise City, ID Metro Area",677346,0.4,1.7,1.3,1.7,0.406413612565445,264
"Youngstown-Warren-Boardman, OH-PA Metro Area",548821,0.7,1.5,0.1,3.1,0.405759162303665,265
"Longview, WA Metro Area",103590,0.2,2.3,0.3,2.4,0.405759162303665,265
"Wausau, WI Metro Area",135293,0.4,2.3,0.4,1.9,0.400523560209424,267
"Chattanooga, TN-GA Metro Area",548359,0.7,2,0.2,2.2,0.400523560209424,267
"Rapid City, SD Metro Area",143711,0.4,3.2,0.3,1.7,0.399214659685864,269
"Lima, OH Metro Area",104157,0.7,1.6,0.2,2.5,0.397905759162304,270
"Waco, TX Metro Area",263009,0.5,1.8,0.3,2.2,0.395942408376963,271
"Manchester-Nashua, NH Metro Area",406371,0.8,2.2,0.2,2,0.395942408376963,271
"Bowling Green, KY Metro Area",169250,0.2,2.9,0.2,2.4,0.395942408376963,271
"Abilene, TX Metro Area",169000,0.6,2.1,0.2,2.2,0.393979057591623,274
"Evansville, IN-KY Metro Area",315263,1.1,1.7,0.1,2.3,0.393324607329843,275
"Madera, CA Metro Area",154440,0.5,2,0.3,2.1,0.390052356020942,276
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2427024,1.6,1.4,0.1,2.3,0.390052356020942,276
"Rockford, IL Metro Area",341150,1.1,1,0.3,2.2,0.386780104712042,278
"Omaha-Council Bluffs, NE-IA Metro Area",914190,0.9,1.8,0.2,2.1,0.386780104712042,278
"Cape Girardeau, MO-IL Metro Area",97136,0.5,2.6,0.1,2.3,0.386125654450262,280
"Gettysburg, PA Metro Area",101589,0.3,3.7,0.3,1.5,0.385471204188482,281
"Fort Wayne, IN Metro Area",429060,0.8,1.2,0.3,2.3,0.385471204188482,281
"Des Moines-West Des Moines, IA Metro Area",623113,1.1,1.9,0.2,1.9,0.384816753926702,283
"Port St. Lucie, FL Metro Area",454482,0.4,1.2,0.7,2.2,0.384162303664922,284
"St. Joseph, MO-KS Metro Area",127137,0.6,1.7,0.1,2.7,0.379581151832461,285
"Tuscaloosa, AL Metro Area",239589,0.5,1.4,0.4,2.2,0.378272251308901,286
"Fayetteville-Springdale-Rogers, AR-MO Metro Area",514166,0.4,1.8,0.3,2.2,0.378272251308901,286
"Cedar Rapids, IA Metro Area",266122,0.7,2.1,0.3,1.6,0.37696335078534,288
"Beckley, WV Metro Area",121699,0.2,2.8,0,2.9,0.37630890052356,289
"Memphis, TN-MS-AR Metro Area",1344058,1,1.1,0.1,2.8,0.375,290
"Appleton, WI Metro Area",233025,0.6,2,0.5,1.3,0.375,290
"Augusta-Richmond County, GA-SC Metro Area",589519,0.7,1.6,0.2,2.3,0.37434554973822,292
"St. George, UT Metro Area",155577,0.5,2,0.6,0.8,0.37369109947644,293
"Owensboro, KY Metro Area",117319,0.5,2.1,0.3,1.9,0.37303664921466,294
"Auburn-Opelika, AL Metro Area",156597,0.8,1.9,0.3,1.6,0.367801047120419,295
"North Port-Sarasota-Bradenton, FL Metro Area",768381,0.8,1.1,0.8,1.5,0.365183246073298,296
"Wichita, KS Metro Area",642339,0.5,1.6,0.4,2,0.364528795811518,297
"Janesville-Beloit, WI Metro Area",161226,0.6,2,0.3,1.8,0.364528795811518,297
"Topeka, KS Metro Area",233382,0.7,1.8,0.2,2.1,0.363219895287958,299
"Houma-Thibodaux, LA Metro Area",211179,0.4,1,0.3,2.7,0.356675392670157,300
