CD,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538
CA-34,2.0829788710830254e-4,0.015395991162465001,0.08629064779300064,0.898105063157426,Jimy Gomez,D,0.836,0.107,0.83,0.141,0.77,0.19,0,1,0,-35,Solid D,-3,0,0.9998,0
CA-35,0.0017558396054338878,0.12211742717345757,0.4766386247206003,0.3994881085005083,Norma Torres,D,0.677,0.26899999999999996,0.674,0.306,0.64,0.32,0.276090876728158,0.723909123271842,0,-19,Solid D,-3,0,1,0
CA-36,0.13041455308699326,0.26657134956056994,0.5023149626398375,0.1006991347125993,Raul Ruiz,D,0.522,0.434,0.507,0.475,0.5,0.47,0.379460658507332,0.620539341492668,0,-2,Solid D,-3,0,0.9967,0
CA-37,0,0.0056209142745508554,0.026467887523426624,0.9679111982020224,Karen Bass,D,0.857,0.096,0.8490000000000001,0.127,0.84,0.13,0,1,0,-37,Solid D,-3,0,1,0
CA-38,0,0.07848729416986802,0.19118640108650237,0.7303263047436296,Linda Sánchez,D,0.67,0.27399999999999997,0.649,0.33,0.61,0.35,0.295217005436984,0.704782994563016,0,-17,Solid D,-3,0,1,0
CA-39,0.0022161305004076218,0.16261360905208272,0.4939068086421127,0.34126345180539686,Edward Royce,R,0.515,0.429,0.47100000000000003,0.508,0.47,0.49,0.572304293696101,0.427695706303899,0,0,Tossup,0,1,0.4897,1
CA-40,1.6893464382356066e-4,0.012109798384752238,0.10277912636896154,0.8849421406024627,Lucille Roybal-Allard,D,0.8220000000000001,0.128,0.815,0.165,0.77,0.19,0,0.713704896950374,0.286295103049626,-33,Solid D,-3,0,0.9993,0
CA-41,0.03518060834056208,0.2700072648436596,0.4618896318077978,0.2329224950079805,Mark Takano,D,0.61,0.331,0.615,0.363,0.59,0.38,0.350486258570972,0.649513741429028,0,-12,Solid D,-3,0,0.9996,0
CA-42,0.07934255301222402,0.41986947662949997,0.40180070499896736,0.09898726535930864,Ken Calvert,R,0.414,0.534,0.414,0.565,0.43,0.54,0.588221180320647,0.411778819679353,0,9,Solid R,3,0,0.0217,0
CA-43,0,0,0.10568029631071132,0.8943197036892886,Maxine Waters,D,0.784,0.16699999999999998,0.78,0.2,0.75,0.22,0.239157965706372,0.760842034293628,0,-29,Solid D,-3,0,1,0
CA-44,0.0015579083523016414,0.015924207348392845,0.18333698344514887,0.7991809008541566,Nanette Barragán,D,0.83,0.12300000000000001,0.847,0.136,0.81,0.16,0,1.0000000000000009,0,-35,Solid D,-3,0,1,0
CA-45,0.010380389617644701,0.1503260116611806,0.4364717097199496,0.4028218890012251,Mimi Walters,R,0.498,0.444,0.43,0.5479999999999999,0.46,0.51,0.585597516746887,0.414402483253113,0,3,Tossup,0,1,0.6511,1
CA-46,3.450048587448263e-5,0.019009947119366474,0.13988745163176783,0.8410681007629912,J. Correa,D,0.6629999999999999,0.27899999999999997,0.614,0.36200000000000004,0.58,0.39,0,1,0,-15,Solid D,-3,0,1,0
CA-47,0.004012673557845647,0.012601692480689111,0.1201307638227504,0.8632548701387149,Alan Lowenthal,D,0.626,0.31,0.6,0.375,0.58,0.39,0.362785546057941,0.637214453942059,0,-13,Solid D,-3,0,0.9998,0
CA-48,6.437980606304588e-4,0.0497424285535017,0.29776385060516247,0.6518499227807054,Dana Rohrabacher,R,0.479,0.462,0.43,0.547,0.46,0.51,0.583197352618662,0.416802647381338,0,4,Tossup,0,1,0.6139,1
CA-49,0.05759018481239375,0.18067328278919512,0.5005272870826497,0.26120924531576145,Darrell Issa,R,0.507,0.43200000000000005,0.457,0.522,0.49,0.48,0.50261320952427,0.49738679047573,0,1,Lean D,-1,1,0.9117,1
CA-50,0.13016506189821184,0.23275051236910752,0.40555250836911455,0.23153191736356615,Duncan Hunter,R,0.396,0.546,0.376,0.604,0.39,0.58,0.634512647090975,0.365487352909025,0,11,Lean R,1,1,0.0949,0
CA-51,0.12593050597609148,0.09982708500534496,0.24458481372864618,0.5296575952899174,Juan Vargas,D,0.718,0.228,0.6940000000000001,0.289,0.65,0.32,0.272458451113651,0.727541548886349,0,-22,Solid D,-3,0,1,0
CA-52,0.02828815459376173,0.13189206658989602,0.4255846239553198,0.41423515486102247,Scott Peters,D,0.581,0.35600000000000004,0.521,0.457,0.55,0.43,0.434743151539344,0.565256848460656,0,-6,Solid D,-3,0,0.9991,0
CA-53,0.005056965841406833,0.07525047045447969,0.34016013883222995,0.5795324248718835,Susan Davis,D,0.645,0.29600000000000004,0.614,0.364,0.61,0.36,0.329907461037999,0.670092538962001,0,-14,Solid D,-3,0,0.9999,0
CO-01,0.0060373181999167904,0.04931921029886717,0.29240785266281505,0.652235618838401,Diana DeGette,D,0.69,0.23199999999999998,0.69,0.28800000000000003,0.7090000000000001,0.276,0.277097689929189,0.678705980434576,0.0441963296362351,-21,Solid D,-3,0,1,0
CO-02,0.24306093067681003,0.25580242094047606,0.3570526606233826,0.1440839877593313,Jared Polis,D,0.562,0.349,0.579,0.395,0.612,0.37200000000000005,0.371739643831782,0.568922311244839,0.0593380449233784,-9,Solid D,-3,0,0.9989,0
CO-03,0.5093056254947357,0.25442216613316826,0.20245546527764885,0.03381674309444718,Scott Tipton,R,0.4,0.52,0.45799999999999996,0.518,0.484,0.499,0.545988765817286,0.403473453161051,0.0505377810216636,6,Likely R,2,1,0.3498,1
CO-04,0.3565299900889553,0.3105572692704778,0.27683534095097556,0.05607739968959138,Ken Buck,R,0.34299999999999997,0.574,0.392,0.585,0.419,0.564,0.63545253241517,0.31651541720532,0.048032050379510256,13,Solid R,3,0,0.0223,0
CO-05,0.2074757629217238,0.20468799660967132,0.47148792325334016,0.11634831721526474,Doug Lamborn,R,0.332,0.5720000000000001,0.38299999999999995,0.591,0.397,0.588,0.622580181931657,0.308400117090198,0.06901970097814496,14,Solid R,3,0,0.0159,0
CO-06,0.04156956624844765,0.12311851822591727,0.47397126144550006,0.3613406540801351,Mike Coffman,R,0.502,0.413,0.516,0.465,0.536,0.449,0.509079026717709,0.426048770379659,0.064872202902632,-2,Lean D,-1,1,0.8184,1
CO-07,0.014578220181563708,0.16935647368286658,0.5489377305440845,0.26712757559148537,Ed Perlmutter,D,0.514,0.39399999999999996,0.561,0.413,0.574,0.40700000000000003,0.397961382282257,0.551802436396785,0.050236181320958,-6,Solid D,-3,0,0.9984,0
CT-01,0.04594322395433403,0.4655968666198179,0.29685139809178795,0.19160851133406007,John Larson,D,0.594,0.363,0.633,0.35600000000000004,0.6579999999999999,0.32899999999999996,0.337697531357354,0.59765439002956,0.06464807861308616,-12,Solid D,-3,0,0.9999,0
CT-02,0.2926711263149184,0.5424770888507882,0.13576965830941515,0.029082126524878307,Joe Courtney,D,0.48700000000000004,0.45799999999999996,0.5589999999999999,0.426,0.586,0.4,0.336553048080737,0.563833620483442,0.09961333143582113,-3,Solid D,-3,0,0.9995,0
CT-03,0.012366092299609863,0.3908504018386576,0.3650397013561031,0.2317438045056295,Rosa DeLauro,D,0.5589999999999999,0.40399999999999997,0.626,0.363,0.626,0.36200000000000004,0.309607310127707,0.621483681827144,0.0689090080451485,-9,Solid D,-3,0,1,0
CT-04,0.025013488141524775,0.3959696367464602,0.25697485947637566,0.3220420156356394,James Himes,D,0.596,0.366,0.551,0.44,0.596,0.397,0.384808955795114,0.599001722268291,0.016189321936595048,-7,Solid D,-3,0,0.9989,0
CT-05,0.10371351525184146,0.5006539980323996,0.2563120916762163,0.13932039503954266,Elizabeth Esty,D,0.499,0.45799999999999996,0.535,0.45299999999999996,0.564,0.424,0.404099882878977,0.528982600086708,0.06691751703431448,-2,Solid D,-3,0,0.9718,0
DE-AL,0.18180582970915646,0.4699650688192405,0.25197096379032735,0.09625813768127571,Lisa Blunt Rochester,D,0.534,0.419,0.586,0.4,0.619,0.369,0.409616298972994,0.555234880182579,0.03514882084442751,-6,Solid D,-3,0,0.9968,0
FL-01,0.24770126435657897,0.5179305224254542,0.2290299039875847,0.005338309230382103,Matt Gaetz,R,0.282,0.675,0.301,0.685,0.32,0.6679999999999999,0.690998575243915,0.309001424756085,0,22,Solid R,3,0,1e-4,0
FL-02,0.45405628239776913,0.33119323723169536,0.15882980466359506,0.05592067570694036,Neal Dunn,R,0.306,0.662,0.34,0.6459999999999999,0.35200000000000004,0.634,0.673234079484626,0.299395390287801,0.027370530227573246,18,Solid R,3,0,3e-4,0
FL-03,0.5371385747339257,0.30021638974623543,0.1294520331233011,0.0331930023965378,Ted Yoho,R,0.402,0.562,0.419,0.5660000000000001,0.442,0.546,0.565634665888532,0.397834840968777,0.0365304931426904,9,Solid R,3,0,0.0097,0
FL-04,0.15576120359232992,0.3518236468440935,0.4584905287247771,0.03392462083879951,John Rutherford,R,0.341,0.621,0.32799999999999996,0.6609999999999999,0.348,0.642,0.701820037006117,0.276051964790486,0.022127998203396948,17,Solid R,3,0,1e-4,0
FL-05,0.06832714533187378,0.33411469709341973,0.49636499614203367,0.10119316143267283,Al Lawson,D,0.613,0.359,0.636,0.354,0.632,0.359,0.357656979470011,0.642343020529989,0,-12,Solid D,-3,0,0.9999,0
FL-06,0.19034402093147582,0.5300910945626476,0.2717095869832598,0.007855297522616805,Vacant,Vacant,0.39899999999999997,0.569,0.466,0.522,0.501,0.48700000000000004,0.5856735332035,0.4143264667965,0,7,Likely R,2,1,0.2226,0
FL-07,0.048507655566485876,0.3816375541999179,0.543807093560206,0.02604769667339024,Stephanie Murphy,D,0.514,0.441,0.494,0.494,0.511,0.48,0.485170575843689,0.51473611287837,9.33112779403656e-5,0,Likely D,-2,1,0.928,0
FL-08,0.12060512031953315,0.5508619686307725,0.3169608558421052,0.011572055207589148,Bill Posey,R,0.377,0.584,0.42100000000000004,0.5660000000000001,0.43799999999999994,0.5489999999999999,0.631099879404242,0.325498449665993,0.0434016709297651,11,Solid R,3,0,0.0118,0
FL-09,0.10045926714982233,0.45229071205320426,0.394238449543623,0.05301157125335042,Darren Soto,D,0.5479999999999999,0.419,0.556,0.434,0.546,0.445,0.425151797881452,0.574848202118548,0,-5,Solid D,-3,0,0.9987,0
FL-10,0.14305965962591718,0.5829825815074365,0.21074796997505651,0.06320978889158979,Val Demings,D,0.618,0.349,0.607,0.384,0.609,0.385,0.351313282503619,0.648686717496381,0,-11,Solid D,-3,0,1,0
FL-11,0.264831932685828,0.5294363158564233,0.20573175145774866,0,Daniel Webster,R,0.325,0.648,0.39799999999999996,0.5920000000000001,0.426,0.561,0.653670079220914,0.315953881115426,0.0303760396636595,15,Solid R,3,0,6e-4,0
FL-12,0.047631850915602174,0.502126194745031,0.4164365826828093,0.03380537165655758,Gus Bilirakis,R,0.38799999999999996,0.574,0.455,0.53,0.474,0.512,0.685908204366609,0.314091795633391,0,8,Solid R,3,0,0.0051,0
FL-13,0,0.08195243289182585,0.7036242752250546,0.21442329188311954,Charlie Crist,D,0.496,0.46399999999999997,0.546,0.439,0.555,0.43,0.480969081783488,0.519030918216512,0,-2,Solid D,-3,0,0.9977,0
FL-14,0.011885598023758015,0.166410704106716,0.5625891676236544,0.25911453024587155,Kathy Castor,D,0.5720000000000001,0.39,0.5760000000000001,0.41200000000000003,0.581,0.409,0.382129343562329,0.617870656437671,0,-7,Solid D,-3,0,1,0
FL-15,0.04956133767611402,0.4499040714580061,0.47165331857073506,0.028881272295144898,Dennis Ross,R,0.431,0.531,0.466,0.522,0.467,0.521,0.57461205624321,0.42538794375679,0,6,Lean R,1,1,0.2926,1
FL-16,0.04203327507117999,0.45616984716787834,0.44849077934290094,0.05330609841804077,Vern Buchanan,R,0.43,0.537,0.451,0.537,0.47700000000000004,0.512,0.597679287720644,0.402320712279356,0,7,Lean R,1,1,0.1259,0
FL-17,0.30593245926285717,0.5684575954347363,0.12560994530240657,0,Thomas Rooney,R,0.35,0.622,0.413,0.5760000000000001,0.439,0.547,0.618138333210305,0.342434487340371,0.0394271794493246,13,Solid R,3,0,0.0021,0
FL-18,0.08115479626728689,0.4229525344961677,0.47831712083331285,0.017575548403232586,Brian Mast,R,0.441,0.5329999999999999,0.47700000000000004,0.514,0.512,0.479,0.535989231694146,0.430726913848233,0.033283854457621075,5,Likely R,2,1,0.1156,0
FL-19,0.052932084014077604,0.5461209367366403,0.37276887269251335,0.028178106556768806,Francis Rooney,R,0.375,0.596,0.387,0.605,0.423,0.568,0.658720805361735,0.340923985174824,3.552094634409604e-4,13,Solid R,3,0,0.0055,0
FL-20,0.051275742399178835,0.08109345802109384,0.47876438789479114,0.38886641168493613,Alcee Hastings,D,0.802,0.18100000000000002,0.825,0.171,0.809,0.18600000000000003,0.196879953883845,0.803120046116155,0,-31,Solid D,-3,0,1,0
FL-21,0.008764257890690887,0.14665980173396478,0.5768421718480655,0.26773376852727876,Lois Frankel,D,0.586,0.391,0.604,0.389,0.634,0.359,0.351448962517232,0.627062981411953,0.021488056070815,-9,Solid D,-3,0,1,0
FL-22,0.0031505144520819653,0.047408128836795405,0.5819925175268059,0.36744883918431676,Theodore Deutch,D,0.568,0.41,0.563,0.43,0.583,0.41,0.410646736717478,0.589353263282522,0,-6,Solid D,-3,0,0.9991,0
FL-23,8.647630121424157e-5,0.13749557048792893,0.40207082204228706,0.46034713116856973,Debbie Wasserman Schultz,D,0.619,0.358,0.614,0.38,0.62,0.373,0.404858875959396,0.567049393414211,0.0280917306263927,-11,Solid D,-3,0,0.9997,0
FL-24,0.0018305910433756725,0.0423501459913232,0.42215965557834517,0.533659607386956,Frederica Wilson,D,0.8290000000000001,0.154,0.857,0.139,0.84,0.156,0,0,0,-34,Solid D,-3,0,1,0
FL-25,0.09349835988575025,0.1843672181272744,0.26029800749694676,0.4618364144900285,Mario Diaz-Balart,R,0.479,0.49700000000000005,0.449,0.545,0.406,0.588,0.623602116569262,0.376397883430738,0,4,Likely R,2,1,0.2555,1
FL-26,0.07611839849160014,0.17734452425870473,0.3927958929304996,0.3537411843191956,Carlos Curbelo,R,0.568,0.405,0.5539999999999999,0.439,0.515,0.479,0.529500039209815,0.411678108803673,0.0588218519865118,-6,Tossup,0,1,0.446,1
FL-27,0.008607372532453621,0.080661674818654,0.36162573851940033,0.5491052141294921,Ileana Ros-Lehtinen,R,0.585,0.389,0.53,0.46299999999999997,0.501,0.493,0.548938566517309,0.451061433482691,0,-5,Tossup,0,1,0.8332,1
GA-01,0.4280775706664675,0.3971933530968808,0.1442118093506365,0.0305172668860151,Earl Carter,R,0.409,0.564,0.43,0.5589999999999999,0.444,0.55,0.995883701542309,0,0.0041162984576907,9,Solid R,3,0,0.0015,0
